Weight Sum,Execution Time (s),Vertices
2464,0.01,20
Weight Sum,Execution Time (s),Vertices
2464,0.012,20
Weight Sum,Execution Time (s),Vertices
3870,0.025,50
Weight Sum,Execution Time (s),Vertices
4155,0.084,100
Weight Sum,Execution Time (s),Vertices
4155,0.085,100
Weight Sum,Execution Time (s),Vertices
4190,0.782,300
Weight Sum,Execution Time (s),Vertices
4779,1.822,500
Weight Sum,Execution Time (s),Vertices
5906,6.122,1000
Weight Sum,Execution Time (s),Vertices
5906,9.249,1000
Weight Sum,Execution Time (s),Vertices,Total Weight
5906,6.763,1000,2.48352e+08
Weight Sum,Execution Time (s),Vertices,Total Weight
5906.00,7.07,1000,248352320.00
Weight Sum,Execution Time (s),Vertices,Total Weight
5906.00,6.76,1000,248352320.00
Weight Sum,Execution Time (s),Vertices,Total Weight
2464.00,0.01,20,100268.00
Weight Sum,Execution Time (s),Vertices,Total Weight
2464.00,0.01,20,100268.00
Weight Sum,Execution Time (s),Vertices,Total Weight
0.00,0.01,0,0.00
Weight Sum,Execution Time (s),Vertices,Total Weight
0.00,0.00,0,0.00
Weight Sum,Execution Time (s),Vertices,Total Weight
2855.00,0.11,100,2472351.00
Weight Sum,Execution Time (s),Vertices,Total Weight
5906.00,8.91,1000,248352320.00
