Node,NextNode
1,2
2,79
79,48
48,39
39,33
33,11
11,38
38,20
20,36
36,68
68,49
49,87
87,81
81,42
42,60
60,37
37,45
45,58
58,100
100,16
16,15
15,26
26,72
72,64
64,6
6,47
47,41
41,32
32,8
8,53
53,69
69,50
50,22
22,34
34,46
46,62
62,99
99,27
27,23
23,92
92,82
82,84
84,70
70,35
35,97
97,91
91,74
74,18
18,17
17,10
10,71
71,59
59,76
76,77
77,7
7,89
89,96
96,19
19,43
43,25
25,29
29,56
56,65
65,30
30,93
93,3
3,21
21,12
12,54
54,66
66,61
61,57
57,44
44,88
88,13
13,55
55,85
85,73
73,14
14,83
83,86
86,5
5,51
51,80
80,4
4,28
28,90
90,75
75,63
63,95
95,9
9,67
67,40
40,52
52,31
31,98
98,24
24,94
94,78
78,1

Total weight of the route,2191
Sum of all edge weights in the graph,2458999
