100 4950
1 2 39.726
1 3 260.439
1 4 864.808
1 5 374.317
1 6 461.642
1 7 859.128
1 8 144.281
1 9 558.936
1 10 954.311
1 11 1.694
1 12 997.922
1 13 677.931
1 14 476.324
1 15 910.242
1 16 735.31
1 17 449.59
1 18 841.605
1 19 924.258
1 20 635.629
1 21 469.867
1 22 563.884
1 23 252.904
1 24 629.604
1 25 225.142
1 26 586.083
1 27 637.433
1 28 292.518
1 29 413.66
1 30 342.183
1 31 334.283
1 32 137.15
1 33 955.103
1 34 674.412
1 35 362.883
1 36 604.796
1 37 112.226
1 38 688.719
1 39 276.957
1 40 750.402
1 41 900.022
1 42 690.155
1 43 831.527
1 44 240.19
1 45 807.965
1 46 27.345
1 47 554.414
1 48 37.585
1 49 10.974
1 50 625.072
1 51 597.842
1 52 192.248
1 53 281.659
1 54 635.752
1 55 713.347
1 56 937.796
1 57 818.074
1 58 569.216
1 59 120.765
1 60 77.639
1 61 351.973
1 62 542.58
1 63 62.556
1 64 473.301
1 65 557.166
1 66 614.435
1 67 679.189
1 68 841.651
1 69 977.559
1 70 827.115
1 71 770.253
1 72 838.035
1 73 838.325
1 74 753.277
1 75 664.063
1 76 57.095
1 77 758.343
1 78 124.184
1 79 776.755
1 80 908.505
1 81 369.162
1 82 581.679
1 83 283.498
1 84 23.997
1 85 830.842
1 86 912.463
1 87 279.188
1 88 931.488
1 89 443.719
1 90 395.276
1 91 451.858
1 92 863.509
1 93 770.852
1 94 231.173
1 95 841.582
1 96 34.932
1 97 245.575
1 98 93.301
1 99 706.87
1 100 32.8
2 3 692.552
2 4 563.978
2 5 891.38
2 6 117.855
2 7 543.734
2 8 475.277
2 9 494.116
2 10 804.163
2 11 949.206
2 12 749.291
2 13 623.131
2 14 160.644
2 15 402.541
2 16 142.726
2 17 76.335
2 18 187.904
2 19 39.257
2 20 78.967
2 21 491.191
2 22 719.757
2 23 470.767
2 24 596.865
2 25 827.324
2 26 810.656
2 27 90.034
2 28 590.809
2 29 917.624
2 30 226.423
2 31 688.521
2 32 344.507
2 33 139.042
2 34 633.272
2 35 374.247
2 36 978.062
2 37 184.501
2 38 890.142
2 39 584.941
2 40 389.956
2 41 714.898
2 42 440.121
2 43 3.692
2 44 87.92
2 45 340.006
2 46 996.38
2 47 975.701
2 48 140.716
2 49 272.668
2 50 741.395
2 51 825.542
2 52 13.219
2 53 498.521
2 54 607.279
2 55 868.905
2 56 106.786
2 57 43.978
2 58 75.807
2 59 331.658
2 60 2.143
2 61 135.546
2 62 260.349
2 63 559.993
2 64 598.756
2 65 473.217
2 66 505.09
2 67 545.283
2 68 754.918
2 69 590.782
2 70 869.368
2 71 932.633
2 72 828.916
2 73 123.228
2 74 123.495
2 75 137.339
2 76 919.92
2 77 370.84
2 78 428.089
2 79 362.632
2 80 809.351
2 81 966.413
2 82 144.098
2 83 710.537
2 84 200.567
2 85 642.742
2 86 704.53
2 87 9.824
2 88 258.238
2 89 92.635
2 90 215.888
2 91 113.464
2 92 251.024
2 93 340.612
2 94 541.684
2 95 727.579
2 96 490.351
2 97 202.71
2 98 704.882
2 99 126.097
2 100 175.498
3 4 259.584
3 5 961.413
3 6 557.1
3 7 525.561
3 8 313.315
3 9 409.613
3 10 972.688
3 11 430.344
3 12 760.703
3 13 463.947
3 14 429.322
3 15 982.332
3 16 855.683
3 17 54.636
3 18 216.08
3 19 124.765
3 20 670.218
3 21 319.987
3 22 662.011
3 23 383.624
3 24 772.107
3 25 988.625
3 26 57.591
3 27 318.903
3 28 577.687
3 29 280.409
3 30 63.07
3 31 852.792
3 32 823.035
3 33 89.874
3 34 35.728
3 35 921.951
3 36 134.874
3 37 75.752
3 38 231.631
3 39 413.689
3 40 82.975
3 41 658.801
3 42 929.278
3 43 600.644
3 44 557.856
3 45 107.332
3 46 251.16
3 47 291.56
3 48 33.792
3 49 927.039
3 50 860.81
3 51 865.163
3 52 329.513
3 53 357.729
3 54 397.956
3 55 615.146
3 56 78.809
3 57 153.745
3 58 782.378
3 59 986.435
3 60 93.034
3 61 681.499
3 62 836.054
3 63 716.383
3 64 831.306
3 65 316.695
3 66 993.018
3 67 878.432
3 68 759.815
3 69 315.463
3 70 921.713
3 71 623.903
3 72 822.223
3 73 627.186
3 74 430.047
3 75 613.271
3 76 603.164
3 77 569.619
3 78 694.336
3 79 169.537
3 80 794.654
3 81 822.333
3 82 564.766
3 83 709.314
3 84 560.79
3 85 527.829
3 86 985.35
3 87 888.603
3 88 4.954
3 89 665.175
3 90 112.563
3 91 839.27
3 92 332.517
3 93 355.528
3 94 518.518
3 95 915.022
3 96 121.039
3 97 643.369
3 98 724.003
3 99 729.29
3 100 683.971
4 5 193.423
4 6 401.638
4 7 90.605
4 8 532.271
4 9 674.692
4 10 892.533
4 11 253.876
4 12 346.09
4 13 856.186
4 14 32.438
4 15 249.364
4 16 236.583
4 17 798.543
4 18 449.39
4 19 536.768
4 20 312.815
4 21 338.166
4 22 798.878
4 23 932.799
4 24 346.76
4 25 885.44
4 26 663.287
4 27 860.458
4 28 938.402
4 29 109.876
4 30 179.854
4 31 884.812
4 32 788.743
4 33 331.922
4 34 343.922
4 35 754.878
4 36 250.906
4 37 215.505
4 38 837.693
4 39 546.597
4 40 605.735
4 41 356.448
4 42 738.478
4 43 899.71
4 44 629.698
4 45 177.209
4 46 131.255
4 47 164.343
4 48 53.494
4 49 911.098
4 50 234.717
4 51 830.279
4 52 129.752
4 53 297.614
4 54 803.033
4 55 483.736
4 56 99.636
4 57 769.469
4 58 457.888
4 59 631.053
4 60 161.55
4 61 949.318
4 62 88.051
4 63 54.456
4 64 727.737
4 65 834.784
4 66 374.418
4 67 638.348
4 68 603.584
4 69 887.389
4 70 804.369
4 71 324.479
4 72 837.228
4 73 32.182
4 74 586.22
4 75 139.028
4 76 300.054
4 77 139.064
4 78 866.777
4 79 346.576
4 80 140.7
4 81 619.022
4 82 639.39
4 83 474.195
4 84 156.363
4 85 711.451
4 86 174.501
4 87 72.014
4 88 59.6
4 89 76.787
4 90 715.304
4 91 135.503
4 92 640.228
4 93 485.43
4 94 914.496
4 95 856.255
4 96 37.134
4 97 811.378
4 98 934.126
4 99 464.25
4 100 889.37
5 6 520.749
5 7 269.752
5 8 157.853
5 9 824.964
5 10 458.216
5 11 659.896
5 12 154.477
5 13 2.419
5 14 151.128
5 15 305.793
5 16 628.365
5 17 192.315
5 18 580.343
5 19 986.244
5 20 751.071
5 21 138.813
5 22 688.155
5 23 78.772
5 24 831.635
5 25 221.064
5 26 563.521
5 27 257.276
5 28 755.664
5 29 825.298
5 30 524.391
5 31 132.38
5 32 327.108
5 33 807.646
5 34 121.332
5 35 547.486
5 36 912.537
5 37 855.227
5 38 619.264
5 39 204.534
5 40 976.321
5 41 361.758
5 42 595.48
5 43 575.848
5 44 924.511
5 45 381.86
5 46 219.777
5 47 718.691
5 48 444.01
5 49 905.254
5 50 53.288
5 51 195.32
5 52 543.456
5 53 22.667
5 54 139.001
5 55 885.536
5 56 894.401
5 57 580.441
5 58 787.197
5 59 102.542
5 60 872.785
5 61 161.025
5 62 74.374
5 63 808.09
5 64 97.919
5 65 137.389
5 66 421.473
5 67 132.937
5 68 69.959
5 69 243.718
5 70 296.41
5 71 379.603
5 72 916.485
5 73 42.824
5 74 598.7
5 75 755.014
5 76 835.382
5 77 83.24
5 78 551.19
5 79 775.861
5 80 425.813
5 81 375.03
5 82 294.282
5 83 385.857
5 84 533.104
5 85 352.089
5 86 567.864
5 87 169.083
5 88 395.313
5 89 931.547
5 90 708.742
5 91 473.441
5 92 672.119
5 93 290.074
5 94 741.558
5 95 615.616
5 96 198.59
5 97 920.077
5 98 168.827
5 99 608.121
5 100 813.27
6 7 402.41
6 8 653.263
6 9 763.847
6 10 710.746
6 11 463.775
6 12 426.402
6 13 420.532
6 14 469.74
6 15 352.422
6 16 757.939
6 17 749.892
6 18 7.676
6 19 97.357
6 20 561.952
6 21 477.095
6 22 205.363
6 23 473.042
6 24 82.624
6 25 697.499
6 26 864.173
6 27 272.996
6 28 82.683
6 29 387.513
6 30 336.915
6 31 261.107
6 32 536.919
6 33 23.15
6 34 266.421
6 35 453.822
6 36 620.221
6 37 696.473
6 38 831.418
6 39 74.464
6 40 403.299
6 41 129.958
6 42 489.305
6 43 420.425
6 44 36.113
6 45 589.542
6 46 10.638
6 47 235.871
6 48 442.006
6 49 308.174
6 50 218.301
6 51 964.75
6 52 513.925
6 53 191.671
6 54 440.788
6 55 731.489
6 56 792.356
6 57 42.075
6 58 237.781
6 59 394.002
6 60 467.146
6 61 467.896
6 62 248.227
6 63 117.788
6 64 865.434
6 65 500.076
6 66 530.915
6 67 430.141
6 68 836.481
6 69 317.833
6 70 205.157
6 71 5.847
6 72 451.594
6 73 644.023
6 74 387.165
6 75 508.789
6 76 585.359
6 77 883.582
6 78 437.926
6 79 975.852
6 80 216.963
6 81 922.293
6 82 95.588
6 83 874.923
6 84 608.828
6 85 449.227
6 86 721.929
6 87 273.396
6 88 5.136
6 89 771.5
6 90 844.941
6 91 296.578
6 92 622.457
6 93 531.33
6 94 788.106
6 95 903.383
6 96 136.279
6 97 919.586
6 98 227.772
6 99 148.147
6 100 674.833
7 8 190.242
7 9 815.039
7 10 541.92
7 11 905.228
7 12 880.73
7 13 935.126
7 14 322.481
7 15 634.667
7 16 524.194
7 17 936.657
7 18 20.028
7 19 287.19
7 20 262.441
7 21 468.841
7 22 323.39
7 23 703.487
7 24 568.798
7 25 533.34
7 26 41.528
7 27 827.441
7 28 657.262
7 29 818.854
7 30 971.139
7 31 504.744
7 32 2.952
7 33 141.003
7 34 268.755
7 35 556.63
7 36 749.669
7 37 786.096
7 38 301.353
7 39 389.706
7 40 237.737
7 41 547.214
7 42 627.85
7 43 474.474
7 44 809.969
7 45 271.989
7 46 657.115
7 47 738.364
7 48 330.114
7 49 489.483
7 50 214.063
7 51 660.86
7 52 399.406
7 53 971.36
7 54 404.064
7 55 454.329
7 56 472.027
7 57 156.568
7 58 582.846
7 59 170.748
7 60 270.251
7 61 495.92
7 62 216.099
7 63 670.732
7 64 697.305
7 65 291.969
7 66 652.169
7 67 335.265
7 68 460.113
7 69 642.784
7 70 583.274
7 71 243.523
7 72 177.558
7 73 284.234
7 74 409.799
7 75 465.61
7 76 399.631
7 77 521.159
7 78 110.504
7 79 257.376
7 80 322.082
7 81 879.654
7 82 202.02
7 83 745.353
7 84 403.577
7 85 239.446
7 86 812.061
7 87 323.98
7 88 280.55
7 89 475.368
7 90 41.318
7 91 737.732
7 92 379.556
7 93 4.343
7 94 25.471
7 95 879.949
7 96 440.724
7 97 18.258
7 98 704.288
7 99 879.759
7 100 723.309
8 9 28.943
8 10 292.424
8 11 490.514
8 12 930.145
8 13 905.052
8 14 832.933
8 15 386.513
8 16 620.403
8 17 621.235
8 18 473.463
8 19 945.629
8 20 519.637
8 21 489.823
8 22 829.565
8 23 150.044
8 24 343.343
8 25 700.002
8 26 245.692
8 27 764.267
8 28 111.608
8 29 571.89
8 30 164.904
8 31 438.472
8 32 156.267
8 33 480.722
8 34 194.471
8 35 889.321
8 36 649.75
8 37 306.718
8 38 669.775
8 39 596.49
8 40 409.243
8 41 175.272
8 42 921.517
8 43 790.105
8 44 20.335
8 45 497.416
8 46 242.613
8 47 345.059
8 48 844.374
8 49 106.018
8 50 145.007
8 51 165.251
8 52 544.518
8 53 102.24
8 54 542.362
8 55 82.309
8 56 891.094
8 57 191.727
8 58 596.874
8 59 837.616
8 60 886.44
8 61 928.088
8 62 695.77
8 63 381.843
8 64 770.671
8 65 255.26
8 66 717.511
8 67 656.774
8 68 544.522
8 69 538.005
8 70 191.297
8 71 694.234
8 72 387.706
8 73 517.471
8 74 567.667
8 75 200.919
