Weight Sum,Execution Time (s),Vertices
4111.54,0.09,100
Weight Sum,Execution Time (s),Vertices
4111.54,0.108,100
Weight Sum,Execution Time (s),Vertices
4111.54,0.1,100
Weight Sum,Execution Time (s),Vertices
4111.54,0.108,100
Weight Sum,Execution Time (s),Vertices
4111.54,0.115,100
Weight Sum,Execution Time (s),Vertices
4111.54,0.086,100
Weight Sum,Execution Time (s),Vertices
4111.54,0.104,100
Weight Sum,Execution Time (s),Vertices
4111.54,85,100
Weight Sum,Execution Time (s),Vertices
4111.54,83,100
Weight Sum,Execution Time (s),Vertices
4111.54,0.092,100
Weight Sum,Execution Time (s),Vertices
4111.54,0.102,100
Weight Sum,Execution Time (s),Vertices
4111.54,0.095,100
Weight Sum,Execution Time (s),Vertices
4111.54,0.107,100
Weight Sum,Execution Time (s),Vertices
4111.54,0.083,100
Weight Sum,Execution Time (s),Vertices
2855,0.085,100
Weight Sum,Execution Time (s),Vertices
2855,0.083,100
Weight Sum,Execution Time (s),Vertices
2855,0.07,100
