Node,NextNode
1,96
96,34
34,100
100,2
2,45
45,89
89,86
86,99
99,88
88,50
50,44
44,74
74,91
91,80
80,84
84,6
6,41
41,55
55,58
58,63
63,65
65,94
94,35
35,7
7,4
4,77
77,17
17,19
19,68
68,42
42,97
97,95
95,56
56,22
22,57
57,15
15,14
14,61
61,73
73,26
26,43
43,87
87,10
10,75
75,48
48,23
23,28
28,29
29,27
27,66
66,46
46,85
85,3
3,37
37,52
52,18
18,49
49,38
38,33
33,21
21,51
51,71
71,93
93,70
70,40
40,9
9,60
60,90
90,8
8,78
78,81
81,72
72,59
59,11
11,30
30,31
31,92
92,83
83,24
24,13
13,98
98,67
67,32
32,25
25,62
62,16
16,64
64,39
39,47
47,5
5,36
36,79
79,54
54,12
12,82
82,53
53,76
76,69
69,20
20,1

Total weight of the route,2126
Sum of all edge weights in the graph,2472351
