300 44850
1 2 39.726
1 3 260.439
1 4 864.808
1 5 374.317
1 6 461.642
1 7 859.128
1 8 144.281
1 9 558.936
1 10 954.311
1 11 1.694
1 12 997.922
1 13 677.931
1 14 476.324
1 15 910.242
1 16 735.31
1 17 449.59
1 18 841.605
1 19 924.258
1 20 635.629
1 21 469.867
1 22 563.884
1 23 252.904
1 24 629.604
1 25 225.142
1 26 586.083
1 27 637.433
1 28 292.518
1 29 413.66
1 30 342.183
1 31 334.283
1 32 137.15
1 33 955.103
1 34 674.412
1 35 362.883
1 36 604.796
1 37 112.226
1 38 688.719
1 39 276.957
1 40 750.402
1 41 900.022
1 42 690.155
1 43 831.527
1 44 240.19
1 45 807.965
1 46 27.345
1 47 554.414
1 48 37.585
1 49 10.974
1 50 625.072
1 51 597.842
1 52 192.248
1 53 281.659
1 54 635.752
1 55 713.347
1 56 937.796
1 57 818.074
1 58 569.216
1 59 120.765
1 60 77.639
1 61 351.973
1 62 542.58
1 63 62.556
1 64 473.301
1 65 557.166
1 66 614.435
1 67 679.189
1 68 841.651
1 69 977.559
1 70 827.115
1 71 770.253
1 72 838.035
1 73 838.325
1 74 753.277
1 75 664.063
1 76 57.095
1 77 758.343
1 78 124.184
1 79 776.755
1 80 908.505
1 81 369.162
1 82 581.679
1 83 283.498
1 84 23.997
1 85 830.842
1 86 912.463
1 87 279.188
1 88 931.488
1 89 443.719
1 90 395.276
1 91 451.858
1 92 863.509
1 93 770.852
1 94 231.173
1 95 841.582
1 96 34.932
1 97 245.575
1 98 93.301
1 99 706.87
1 100 32.8
1 101 692.552
1 102 563.978
1 103 891.38
1 104 117.855
1 105 543.734
1 106 475.277
1 107 494.116
1 108 804.163
1 109 949.206
1 110 749.291
1 111 623.131
1 112 160.644
1 113 402.541
1 114 142.726
1 115 76.335
1 116 187.904
1 117 39.257
1 118 78.967
1 119 491.191
1 120 719.757
1 121 470.767
1 122 596.865
1 123 827.324
1 124 810.656
1 125 90.034
1 126 590.809
1 127 917.624
1 128 226.423
1 129 688.521
1 130 344.507
1 131 139.042
1 132 633.272
1 133 374.247
1 134 978.062
1 135 184.501
1 136 890.142
1 137 584.941
1 138 389.956
1 139 714.898
1 140 440.121
1 141 3.692
1 142 87.92
1 143 340.006
1 144 996.38
1 145 975.701
1 146 140.716
1 147 272.668
1 148 741.395
1 149 825.542
1 150 13.219
1 151 498.521
1 152 607.279
1 153 868.905
1 154 106.786
1 155 43.978
1 156 75.807
1 157 331.658
1 158 2.143
1 159 135.546
1 160 260.349
1 161 559.993
1 162 598.756
1 163 473.217
1 164 505.09
1 165 545.283
1 166 754.918
1 167 590.782
1 168 869.368
1 169 932.633
1 170 828.916
1 171 123.228
1 172 123.495
1 173 137.339
1 174 919.92
1 175 370.84
1 176 428.089
1 177 362.632
1 178 809.351
1 179 966.413
1 180 144.098
1 181 710.537
1 182 200.567
1 183 642.742
1 184 704.53
1 185 9.824
1 186 258.238
1 187 92.635
1 188 215.888
1 189 113.464
1 190 251.024
1 191 340.612
1 192 541.684
1 193 727.579
1 194 490.351
1 195 202.71
1 196 704.882
1 197 126.097
1 198 175.498
1 199 259.584
1 200 961.413
1 201 557.1
1 202 525.561
1 203 313.315
1 204 409.613
1 205 972.688
1 206 430.344
1 207 760.703
1 208 463.947
1 209 429.322
1 210 982.332
1 211 855.683
1 212 54.636
1 213 216.08
1 214 124.765
1 215 670.218
1 216 319.987
1 217 662.011
1 218 383.624
1 219 772.107
1 220 988.625
1 221 57.591
1 222 318.903
1 223 577.687
1 224 280.409
1 225 63.07
1 226 852.792
1 227 823.035
1 228 89.874
1 229 35.728
1 230 921.951
1 231 134.874
1 232 75.752
1 233 231.631
1 234 413.689
1 235 82.975
1 236 658.801
1 237 929.278
1 238 600.644
1 239 557.856
1 240 107.332
1 241 251.16
1 242 291.56
1 243 33.792
1 244 927.039
1 245 860.81
1 246 865.163
1 247 329.513
1 248 357.729
1 249 397.956
1 250 615.146
1 251 78.809
1 252 153.745
1 253 782.378
1 254 986.435
1 255 93.034
1 256 681.499
1 257 836.054
1 258 716.383
1 259 831.306
1 260 316.695
1 261 993.018
1 262 878.432
1 263 759.815
1 264 315.463
1 265 921.713
1 266 623.903
1 267 822.223
1 268 627.186
1 269 430.047
1 270 613.271
1 271 603.164
1 272 569.619
1 273 694.336
1 274 169.537
1 275 794.654
1 276 822.333
1 277 564.766
1 278 709.314
1 279 560.79
1 280 527.829
1 281 985.35
1 282 888.603
1 283 4.954
1 284 665.175
1 285 112.563
1 286 839.27
1 287 332.517
1 288 355.528
1 289 518.518
1 290 915.022
1 291 121.039
1 292 643.369
1 293 724.003
1 294 729.29
1 295 683.971
1 296 193.423
1 297 401.638
1 298 90.605
1 299 532.271
1 300 674.692
2 3 892.533
2 4 253.876
2 5 346.09
2 6 856.186
2 7 32.438
2 8 249.364
2 9 236.583
2 10 798.543
2 11 449.39
2 12 536.768
2 13 312.815
2 14 338.166
2 15 798.878
2 16 932.799
2 17 346.76
2 18 885.44
2 19 663.287
2 20 860.458
2 21 938.402
2 22 109.876
2 23 179.854
2 24 884.812
2 25 788.743
2 26 331.922
2 27 343.922
2 28 754.878
2 29 250.906
2 30 215.505
2 31 837.693
2 32 546.597
2 33 605.735
2 34 356.448
2 35 738.478
2 36 899.71
2 37 629.698
2 38 177.209
2 39 131.255
2 40 164.343
2 41 53.494
2 42 911.098
2 43 234.717
2 44 830.279
2 45 129.752
2 46 297.614
2 47 803.033
2 48 483.736
2 49 99.636
2 50 769.469
2 51 457.888
2 52 631.053
2 53 161.55
2 54 949.318
2 55 88.051
2 56 54.456
2 57 727.737
2 58 834.784
2 59 374.418
2 60 638.348
2 61 603.584
2 62 887.389
2 63 804.369
2 64 324.479
2 65 837.228
2 66 32.182
2 67 586.22
2 68 139.028
2 69 300.054
2 70 139.064
2 71 866.777
2 72 346.576
2 73 140.7
2 74 619.022
2 75 639.39
2 76 474.195
2 77 156.363
2 78 711.451
2 79 174.501
2 80 72.014
2 81 59.6
2 82 76.787
2 83 715.304
2 84 135.503
2 85 640.228
2 86 485.43
2 87 914.496
2 88 856.255
2 89 37.134
2 90 811.378
2 91 934.126
2 92 464.25
2 93 889.37
2 94 520.749
2 95 269.752
2 96 157.853
2 97 824.964
2 98 458.216
2 99 659.896
2 100 154.477
2 101 2.419
2 102 151.128
2 103 305.793
2 104 628.365
2 105 192.315
2 106 580.343
2 107 986.244
2 108 751.071
2 109 138.813
2 110 688.155
2 111 78.772
2 112 831.635
2 113 221.064
2 114 563.521
2 115 257.276
2 116 755.664
2 117 825.298
2 118 524.391
2 119 132.38
2 120 327.108
2 121 807.646
2 122 121.332
2 123 547.486
2 124 912.537
2 125 855.227
2 126 619.264
2 127 204.534
2 128 976.321
2 129 361.758
2 130 595.48
2 131 575.848
2 132 924.511
2 133 381.86
2 134 219.777
2 135 718.691
2 136 444.01
2 137 905.254
2 138 53.288
2 139 195.32
2 140 543.456
2 141 22.667
2 142 139.001
2 143 885.536
2 144 894.401
2 145 580.441
2 146 787.197
2 147 102.542
2 148 872.785
2 149 161.025
2 150 74.374
2 151 808.09
2 152 97.919
2 153 137.389
2 154 421.473
2 155 132.937
2 156 69.959
2 157 243.718
2 158 296.41
2 159 379.603
2 160 916.485
2 161 42.824
2 162 598.7
2 163 755.014
2 164 835.382
2 165 83.24
2 166 551.19
2 167 775.861
2 168 425.813
2 169 375.03
2 170 294.282
2 171 385.857
2 172 533.104
2 173 352.089
2 174 567.864
2 175 169.083
2 176 395.313
2 177 931.547
2 178 708.742
2 179 473.441
2 180 672.119
2 181 290.074
2 182 741.558
2 183 615.616
2 184 198.59
2 185 920.077
2 186 168.827
2 187 608.121
2 188 813.27
2 189 402.41
2 190 653.263
2 191 763.847
2 192 710.746
2 193 463.775
2 194 426.402
2 195 420.532
2 196 469.74
2 197 352.422
2 198 757.939
2 199 749.892
2 200 7.676
2 201 97.357
2 202 561.952
2 203 477.095
2 204 205.363
2 205 473.042
2 206 82.624
2 207 697.499
2 208 864.173
2 209 272.996
2 210 82.683
2 211 387.513
2 212 336.915
2 213 261.107
2 214 536.919
2 215 23.15
2 216 266.421
2 217 453.822
2 218 620.221
2 219 696.473
2 220 831.418
2 221 74.464
2 222 403.299
2 223 129.958
2 224 489.305
2 225 420.425
2 226 36.113
2 227 589.542
2 228 10.638
2 229 235.871
2 230 442.006
2 231 308.174
2 232 218.301
2 233 964.75
2 234 513.925
2 235 191.671
2 236 440.788
2 237 731.489
2 238 792.356
2 239 42.075
2 240 237.781
2 241 394.002
2 242 467.146
2 243 467.896
2 244 248.227
2 245 117.788
2 246 865.434
2 247 500.076
2 248 530.915
2 249 430.141
2 250 836.481
2 251 317.833
2 252 205.157
2 253 5.847
2 254 451.594
2 255 644.023
2 256 387.165
2 257 508.789
2 258 585.359
2 259 883.582
2 260 437.926
2 261 975.852
2 262 216.963
2 263 922.293
2 264 95.588
2 265 874.923
2 266 608.828
2 267 449.227
2 268 721.929
2 269 273.396
2 270 5.136
2 271 771.5
2 272 844.941
2 273 296.578
2 274 622.457
2 275 531.33
2 276 788.106
2 277 903.383
2 278 136.279
2 279 919.586
2 280 227.772
2 281 148.147
2 282 674.833
2 283 190.242
2 284 815.039
2 285 541.92
2 286 905.228
2 287 880.73
2 288 935.126
2 289 322.481
2 290 634.667
2 291 524.194
2 292 936.657
2 293 20.028
2 294 287.19
2 295 262.441
2 296 468.841
2 297 323.39
2 298 703.487
2 299 568.798
2 300 533.34
3 4 41.528
3 5 827.441
3 6 657.262
3 7 818.854
3 8 971.139
3 9 504.744
3 10 2.952
3 11 141.003
3 12 268.755
3 13 556.63
3 14 749.669
3 15 786.096
3 16 301.353
3 17 389.706
3 18 237.737
3 19 547.214
3 20 627.85
3 21 474.474
3 22 809.969
3 23 271.989
3 24 657.115
3 25 738.364
3 26 330.114
3 27 489.483
3 28 214.063
3 29 660.86
3 30 399.406
3 31 971.36
3 32 404.064
3 33 454.329
3 34 472.027
3 35 156.568
3 36 582.846
3 37 170.748
3 38 270.251
3 39 495.92
3 40 216.099
3 41 670.732
3 42 697.305
3 43 291.969
3 44 652.169
3 45 335.265
3 46 460.113
3 47 642.784
3 48 583.274
3 49 243.523
3 50 177.558
3 51 284.234
3 52 409.799
3 53 465.61
3 54 399.631
3 55 521.159
3 56 110.504
3 57 257.376
3 58 322.082
3 59 879.654
3 60 202.02
3 61 745.353
3 62 403.577
3 63 239.446
3 64 812.061
3 65 323.98
3 66 280.55
3 67 475.368
3 68 41.318
3 69 737.732
3 70 379.556
3 71 4.343
3 72 25.471
3 73 879.949
3 74 440.724
3 75 18.258
3 76 704.288
3 77 879.759
3 78 723.309
3 79 28.943
3 80 292.424
3 81 490.514
3 82 930.145
3 83 905.052
3 84 832.933
3 85 386.513
3 86 620.403
3 87 621.235
3 88 473.463
3 89 945.629
3 90 519.637
3 91 489.823
3 92 829.565
3 93 150.044
3 94 343.343
3 95 700.002
3 96 245.692
3 97 764.267
3 98 111.608
3 99 571.89
3 100 164.904
3 101 438.472
3 102 156.267
3 103 480.722
3 104 194.471
3 105 889.321
3 106 649.75
3 107 306.718
3 108 669.775
3 109 596.49
3 110 409.243
3 111 175.272
3 112 921.517
3 113 790.105
3 114 20.335
3 115 497.416
3 116 242.613
3 117 345.059
3 118 844.374
3 119 106.018
3 120 145.007
3 121 165.251
3 122 544.518
3 123 102.24
3 124 542.362
3 125 82.309
3 126 891.094
3 127 191.727
3 128 596.874
3 129 837.616
3 130 886.44
3 131 928.088
3 132 695.77
3 133 381.843
3 134 770.671
3 135 255.26
3 136 717.511
3 137 656.774
3 138 544.522
3 139 538.005
3 140 191.297
3 141 694.234
3 142 387.706
3 143 517.471
3 144 567.667
3 145 200.919
